Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value
"Nevada County, Arkansas",Nevada County,Arkansas,44911,62700,,,
"Newton County, Arkansas",Newton County,Arkansas,44443,91600,,,
"Ouachita County, Arkansas",Ouachita County,Arkansas,45461,67900,,,142700
"Perry County, Arkansas",Perry County,Arkansas,57289,99100,,,
"Phillips County, Arkansas",Phillips County,Arkansas,42299,67100,,,
"Pike County, Arkansas",Pike County,Arkansas,48645,78600,,,
"Poinsett County, Arkansas",Poinsett County,Arkansas,45511,78200,,,
"Polk County, Arkansas",Polk County,Arkansas,45664,87100,92500,43500,162200
"Pope County, Arkansas",Pope County,Arkansas,56369,126100,117100,70700,198300
"Prairie County, Arkansas",Prairie County,Arkansas,49114,65300,,,
"Pulaski County, Arkansas",Pulaski County,Arkansas,71902,148300,132800,56000,258000
"Randolph County, Arkansas",Randolph County,Arkansas,49821,81500,,,
"St. Francis County, Arkansas",St. Francis County,Arkansas,43681,61900,,,
"Saline County, Arkansas",Saline County,Arkansas,73050,147400,153900,98500,248200
"Scott County, Arkansas",Scott County,Arkansas,44938,69800,,,
"Searcy County, Arkansas",Searcy County,Arkansas,47884,89700,,,
"Sebastian County, Arkansas",Sebastian County,Arkansas,58991,116800,116800,64900,207000
"Sevier County, Arkansas",Sevier County,Arkansas,50684,75400,,,169200
"Sharp County, Arkansas",Sharp County,Arkansas,47891,79900,75300,42500,141700
"Stone County, Arkansas",Stone County,Arkansas,48029,107300,126200,,185700
"Union County, Arkansas",Union County,Arkansas,56546,79900,,,
"Van Buren County, Arkansas",Van Buren County,Arkansas,47256,98900,,,
"Washington County, Arkansas",Washington County,Arkansas,68715,162900,183900,129600,312800
"White County, Arkansas",White County,Arkansas,60710,116400,115600,60600,191800
"Woodruff County, Arkansas",Woodruff County,Arkansas,44242,63700,,,
"Yell County, Arkansas",Yell County,Arkansas,54048,100300,,,
"Alameda County, California",Alameda County,California,114330,649100,877000,612900,1309900
"Alpine County, California",Alpine County,California,90994,343800,,,
"Amador County, California",Amador County,California,75677,278600,308700,215300,456100
"Butte County, California",Butte County,California,66251,238200,289100,194000,423900
"Calaveras County, California",Calaveras County,California,77144,273400,302300,218900,419500
"Colusa County, California",Colusa County,California,75868,223600,223300,155000,338400
"Contra Costa County, California",Contra Costa County,California,120800,522300,617800,423400,1178900
"Del Norte County, California",Del Norte County,California,55899,185900,,,
"El Dorado County, California",El Dorado County,California,99817,405900,480100,332900,700600
"Fresno County, California",Fresno County,California,68620,220600,248200,164300,378900
"Glenn County, California",Glenn County,California,58822,214600,215800,,301700
"Humboldt County, California",Humboldt County,California,60394,285800,290700,221700,410200
"Imperial County, California",Imperial County,California,62145,167700,210300,132100,276100
"Inyo County, California",Inyo County,California,65536,243100,355600,221600,524400
"Kern County, California",Kern County,California,69236,190600,215400,141900,310600
"Kings County, California",Kings County,California,66431,185600,208700,139300,286900
"Lake County, California",Lake County,California,55631,182000,247700,153300,368000
"Lassen County, California",Lassen County,California,67750,177500,,81900,
"Los Angeles County, California",Los Angeles County,California,89855,495800,616500,430700,1137100
"Madera County, California",Madera County,California,65121,220400,248200,174300,339200
"Marin County, California",Marin County,California,162292,908800,1158600,758000,1932700
"Mariposa County, California",Mariposa County,California,64884,259500,246900,,381000
"Mendocino County, California",Mendocino County,California,66974,338000,364400,259600,534900
"Merced County, California",Merced County,California,64445,196200,262200,194800,351700
"Modoc County, California",Modoc County,California,50688,143100,,,
"Mono County, California",Mono County,California,74394,311700,,280100,921900
"Monterey County, California",Monterey County,California,88073,441000,564200,393000,1054500
"Napa County, California",Napa County,California,111168,560500,672400,508100,1249300
"Nevada County, California",Nevada County,California,83616,379800,458400,331400,682500
"Orange County, California",Orange County,California,111775,620500,725900,528000,1095200
"Placer County, California",Placer County,California,104490,413300,492000,370000,713100
"Plumas County, California",Plumas County,California,68728,228900,265900,153300,490500
"Riverside County, California",Riverside County,California,80056,304500,378000,265500,535800
"Sacramento County, California",Sacramento County,California,80705,299900,366100,268500,526800
"San Benito County, California",San Benito County,California,97131,459700,535200,441100,725800
"San Bernardino County, California",San Bernardino County,California,74105,280200,346000,226300,518600
"San Diego County, California",San Diego County,California,96153,484900,592700,425100,926900
"San Francisco County, California",San Francisco County,California,137761,927400,1375400,953800,2047500
"San Joaquin County, California",San Joaquin County,California,76851,281100,362000,248400,515000
"San Luis Obispo County, California",San Luis Obispo County,California,87933,499800,605000,442500,861400
"San Mateo County, California",San Mateo County,California,151463,917700,1364200,960500,2270100
"Santa Barbara County, California",Santa Barbara County,California,97025,509400,596500,345200,1339400
"Santa Clara County, California",Santa Clara County,California,143191,829600,1275900,821300,2220000
"Santa Cruz County, California",Santa Cruz County,California,101429,659900,830800,555800,1243800
"Shasta County, California",Shasta County,California,65004,233500,258200,178300,380000
"Sierra County, California",Sierra County,California,70434,157100,,,
"Siskiyou County, California",Siskiyou County,California,55322,176600,193300,106100,325100
"Solano County, California",Solano County,California,90972,342000,437100,357500,581700
"Sonoma County, California",Sonoma County,California,96675,513300,632700,488800,971500
"Stanislaus County, California",Stanislaus County,California,72388,244100,307000,242800,407500
"Sutter County, California",Sutter County,California,72302,234500,286400,216800,381000
"Tehama County, California",Tehama County,California,58732,191400,,,
"Trinity County, California",Trinity County,California,52189,286500,216300,139200,312600
"Tulare County, California",Tulare County,California,62325,180200,209100,149100,305400
"Tuolumne County, California",Tuolumne County,California,75461,273500,,,
"Ventura County, California",Ventura County,California,107872,520300,601500,452600,857300
"Yolo County, California",Yolo County,California,86723,370800,447500,321100,703200
"Yuba County, California",Yuba County,California,64398,207100,253400,184100,351600
"Adams County, Colorado",Adams County,Colorado,78824,241900,340000,285200,435900
"Alamosa County, Colorado",Alamosa County,Colorado,50611,152900,178500,110000,259300
"Arapahoe County, Colorado",Arapahoe County,Colorado,95851,292900,374100,274600,544100
"Archuleta County, Colorado",Archuleta County,Colorado,64572,274000,373400,246100,625100
"Baca County, Colorado",Baca County,Colorado,51105,79800,,,
"Bent County, Colorado",Bent County,Colorado,47396,77700,,,
"Boulder County, Colorado",Boulder County,Colorado,104898,423500,532300,346600,891500
"Broomfield County, Colorado",Broomfield County,Colorado,108964,356500,437200,353500,634000
"Chaffee County, Colorado",Chaffee County,Colorado,67792,313200,392600,279000,583500
"Cheyenne County, Colorado",Cheyenne County,Colorado,62921,90000,,,
"Clear Creek County, Colorado",Clear Creek County,Colorado,88595,317000,361900,214000,613400
"Conejos County, Colorado",Conejos County,Colorado,49234,113100,,,
"Costilla County, Colorado",Costilla County,Colorado,45520,114200,,,
"Crowley County, Colorado",Crowley County,Colorado,46543,79700,,,
"Custer County, Colorado",Custer County,Colorado,55565,248300,,,
"Delta County, Colorado",Delta County,Colorado,61871,206200,,144100,
"Denver County, Colorado",Denver County,Colorado,88779,322900,423500,290900,692500
"Dolores County, Colorado",Dolores County,Colorado,56890,122000,,,
"Douglas County, Colorado",Douglas County,Colorado,136284,407100,483900,380500,669500
"Eagle County, Colorado",Eagle County,Colorado,110241,471100,720800,405200,1834200
"Elbert County, Colorado",Elbert County,Colorado,115587,380000,508600,362000,703800
"El Paso County, Colorado",El Paso County,Colorado,81528,238200,290300,222200,437400
"Fremont County, Colorado",Fremont County,Colorado,59591,160000,,,
"Garfield County, Colorado",Garfield County,Colorado,84004,323800,400500,248300,647600
"Gilpin County, Colorado",Gilpin County,Colorado,97293,301700,357400,252700,512100
"Grand County, Colorado",Grand County,Colorado,76471,285000,346900,215600,705100
"Gunnison County, Colorado",Gunnison County,Colorado,66896,313900,,190400,856500
"Hinsdale County, Colorado",Hinsdale County,Colorado,64899,325400,,,
"Huerfano County, Colorado",Huerfano County,Colorado,51904,137400,,,
"Jackson County, Colorado",Jackson County,Colorado,55802,171300,,,
"Jefferson County, Colorado",Jefferson County,Colorado,97672,334100,423000,334300,604300
"Kiowa County, Colorado",Kiowa County,Colorado,55401,83200,,,
"Kit Carson County, Colorado",Kit Carson County,Colorado,67229,130200,,,
"Lake County, Colorado",Lake County,Colorado,60805,197600,244000,171400,370700
"La Plata County, Colorado",La Plata County,Colorado,81865,356700,408900,258900,617100
"Larimer County, Colorado",Larimer County,Colorado,85429,306600,376200,303300,550000
"Las Animas County, Colorado",Las Animas County,Colorado,54224,145900,158900,93200,280100
"Lincoln County, Colorado",Lincoln County,Colorado,58641,132100,,,
"Logan County, Colorado",Logan County,Colorado,59117,148700,147800,83800,
"Mesa County, Colorado",Mesa County,Colorado,66690,207900,236800,175500,361400
"Mineral County, Colorado",Mineral County,Colorado,66639,279000,,,
"Moffat County, Colorado",Moffat County,Colorado,67837,169200,,,
"Montezuma County, Colorado",Montezuma County,Colorado,57908,197900,249300,162800,411100
"Montrose County, Colorado",Montrose County,Colorado,57149,202500,256800,177000,430100
"Morgan County, Colorado",Morgan County,Colorado,64236,162900,,,
"Otero County, Colorado",Otero County,Colorado,48591,91800,88900,45700,183200
"Ouray County, Colorado",Ouray County,Colorado,75322,420600,435700,293700,676300
"Park County, Colorado",Park County,Colorado,76226,262300,345400,229700,500800
"Phillips County, Colorado",Phillips County,Colorado,68069,132600,,,
"Pitkin County, Colorado",Pitkin County,Colorado,130882,593600,1117300,,
"Prowers County, Colorado",Prowers County,Colorado,54139,94400,,,
"Pueblo County, Colorado",Pueblo County,Colorado,57557,148000,166100,91200,264300
"Rio Blanco County, Colorado",Rio Blanco County,Colorado,72155,201000,,,
"Rio Grande County, Colorado",Rio Grande County,Colorado,53384,143000,161600,83900,297200
"Routt County, Colorado",Routt County,Colorado,90103,460600,502300,247300,1010600
"Saguache County, Colorado",Saguache County,Colorado,52823,150100,,,
"San Juan County, Colorado",San Juan County,Colorado,61346,269400,,,
"San Miguel County, Colorado",San Miguel County,Colorado,94749,485000,707200,301800,2420500
