"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-12-31,202,"Kent County","RI","Providence-Warwick",362,236200,-0.00253378378378378,-0.000423190859077444,0.0382417582417582,0.0666107997942187,0.0138235020997031,"2006-04","2006-Q2",258000,-0.0844961240310078,"2004-09"
2018-12-31,2800,"Middlesex County","CT","Hartford-West Hartford-East Hartford",363,292900,-0.00374149659863946,-0.00577053632043449,0.0120939875604699,0.0172453513938919,-0.00282352556270205,"2007-05","2007-Q2",327000,-0.104281345565749,"2004-12"
2018-12-31,706,"Scott County","IA","Davenport-Moline-Rock Island",364,154300,0.00325097529258778,0.00981675392670157,0.00718015665796345,0.0260232820069184,0.0179910701669068,"2018-12","2018-Q4",154300,0,"2018-12"
2018-12-31,1330,"Porter County","IN","Chicago-Naperville-Elgin",365,199900,0.00654582074521652,0.0193778684344722,0.0632978723404255,0.0355055229897019,0.0160950142141902,"2018-12","2018-Q4",199900,0,"2018-12"
2018-12-31,3123,"Saint Clair County","MI","Detroit-Warren-Dearborn",366,145800,0.00275103163686382,0.0188679245283019,0.100377358490566,0.0869431433221271,0.0292330800629665,"2002-12","2002-Q4",146200,-0.0027359781121751,"2002-10"
2018-12-31,2242,"Davidson County","NC","Winston-Salem",367,134400,0.00749625187406297,0.0330514988470407,0.081255028157683,0.0550698940454211,0.0120740775493471,"2018-12","2018-Q4",134400,0,"2018-12"
2018-12-31,395,"Boone County","MO","Columbia",368,177800,-0.00112359550561798,0.00395256916996047,0.0665866826634673,0.0359745764467561,0.0221634671894675,"2018-11","2018-Q4",178000,-0.00112359550561798,"2018-11"
2018-12-31,199,"Kent County","DE","Dover",369,210900,0.00620229007633588,0.0168756027000964,0.0837615621788284,0.0504398398827963,,"2018-12","2018-Q4",210900,0,"2018-12"
2018-12-31,2138,"Beaufort County","SC","Hilton Head Island-Bluffton-Beaufort",370,311700,0.00386473429951691,0.0126705653021443,0.0627344016365496,0.0533203330595216,0.00589748341907703,"2006-12","2006-Q4",362500,-0.140137931034483,"2005-10"
2018-12-31,1975,"Portage County","OH","Akron",371,159300,0.00314861460957179,0.0159438775510204,0.0528750826173166,0.0476863464468469,0.0162384171138397,"2018-12","2018-Q4",159300,0,"2018-12"
2018-12-31,983,"DeSoto County","MS","Memphis",372,179400,0.00504201680672269,0.0228050171037628,0.116365899191039,0.0486080798632209,0.0148576931253697,"2018-12","2018-Q4",179400,0,"2018-12"
2018-12-31,1407,"Sumner County","TN","Nashville-Davidson--Murfreesboro--Franklin",373,241900,0.00665834373699542,0.0289238621863037,0.094075079149706,0.0867273476205663,0.0424621564452909,"2018-12","2018-Q4",241900,0,"2018-12"
2018-12-31,1802,"Jackson County","MI","Jackson",374,133900,0.00450112528132033,0.0120937263794407,0.104785478547855,0.0913219589393206,0.0260866157549884,"2018-12","2018-Q4",133900,0,"2018-12"
2018-12-31,365,"Aiken County","SC","Augusta-Richmond County",375,115200,0.004359197907585,0.0203720106288751,0.169543147208122,0.0685365790881263,0.0262544937427602,"2018-12","2018-Q4",115200,0,"2018-12"
2018-12-31,2650,"Charlotte County","FL","Punta Gorda",376,210300,-0.00142450142450142,0.00429799426934097,0.125802997858672,0.112152033812152,0.0413797439924106,"2006-03","2006-Q1",239100,-0.120451693851945,"2005-06"
2018-12-31,1133,"Kenton County","KY","Cincinnati",377,157100,0.00319284802043423,0.0207927225471085,0.109463276836158,0.048626855167095,0.0203780699162595,"2018-12","2018-Q4",157100,0,"2018-12"
