GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US05127,05127,"Scott County, Arkansas",69800,7282
0500000US05129,05129,"Searcy County, Arkansas",89700,15392
0500000US05131,05131,"Sebastian County, Arkansas",116800,3988
0500000US05133,05133,"Sevier County, Arkansas",75400,4580
0500000US05135,05135,"Sharp County, Arkansas",79900,5590
0500000US05137,05137,"Stone County, Arkansas",107300,21331
0500000US05139,05139,"Union County, Arkansas",79900,4951
0500000US05141,05141,"Van Buren County, Arkansas",98900,10186
0500000US05143,05143,"Washington County, Arkansas",162900,2760
0500000US05145,05145,"White County, Arkansas",116400,5086
0500000US05147,05147,"Woodruff County, Arkansas",63700,4009
0500000US05149,05149,"Yell County, Arkansas",100300,9489
0500000US06001,06001,"Alameda County, California",649100,3303
0500000US06003,06003,"Alpine County, California",343800,37678
0500000US06005,06005,"Amador County, California",278600,7641
0500000US06007,06007,"Butte County, California",238200,3917
0500000US06009,06009,"Calaveras County, California",273400,12074
0500000US06011,06011,"Colusa County, California",223600,12311
0500000US06013,06013,"Contra Costa County, California",522300,5400
0500000US06015,06015,"Del Norte County, California",185900,13895
0500000US06017,06017,"El Dorado County, California",405900,6705
0500000US06019,06019,"Fresno County, California",220600,2197
0500000US06021,06021,"Glenn County, California",214600,13256
0500000US06023,06023,"Humboldt County, California",285800,4628
0500000US06025,06025,"Imperial County, California",167700,3108
0500000US06027,06027,"Inyo County, California",243100,20361
0500000US06029,06029,"Kern County, California",190600,2222
0500000US06031,06031,"Kings County, California",185600,5792
0500000US06033,06033,"Lake County, California",182000,7135
0500000US06035,06035,"Lassen County, California",177500,11132
0500000US06037,06037,"Los Angeles County, California",495800,1386
0500000US06039,06039,"Madera County, California",220400,5593
0500000US06041,06041,"Marin County, California",908800,8635
0500000US06043,06043,"Mariposa County, California",259500,14977
0500000US06045,06045,"Mendocino County, California",338000,8944
0500000US06047,06047,"Merced County, California",196200,5679
0500000US06049,06049,"Modoc County, California",143100,29558
0500000US06051,06051,"Mono County, California",311700,38126
0500000US06053,06053,"Monterey County, California",441000,6591
0500000US06055,06055,"Napa County, California",560500,8513
0500000US06057,06057,"Nevada County, California",379800,6995
0500000US06059,06059,"Orange County, California",620500,2291
0500000US06061,06061,"Placer County, California",413300,4354
0500000US06063,06063,"Plumas County, California",228900,10663
0500000US06065,06065,"Riverside County, California",304500,1948
0500000US06067,06067,"Sacramento County, California",299900,1958
0500000US06069,06069,"San Benito County, California",459700,8439
0500000US06071,06071,"San Bernardino County, California",280200,1917
0500000US06073,06073,"San Diego County, California",484900,2026
0500000US06075,06075,"San Francisco County, California",927400,7229
0500000US06077,06077,"San Joaquin County, California",281100,3375
0500000US06079,06079,"San Luis Obispo County, California",499800,9363
0500000US06081,06081,"San Mateo County, California",917700,6273
0500000US06083,06083,"Santa Barbara County, California",509400,17381
0500000US06085,06085,"Santa Clara County, California",829600,4266
0500000US06087,06087,"Santa Cruz County, California",659900,9193
0500000US06089,06089,"Shasta County, California",233500,4093
0500000US06091,06091,"Sierra County, California",157100,32562
0500000US06093,06093,"Siskiyou County, California",176600,9205
0500000US06095,06095,"Solano County, California",342000,3580
0500000US06097,06097,"Sonoma County, California",513300,7447
0500000US06099,06099,"Stanislaus County, California",244100,3173
0500000US06101,06101,"Sutter County, California",234500,5855
0500000US06103,06103,"Tehama County, California",191400,8748
0500000US06105,06105,"Trinity County, California",286500,21776
0500000US06107,06107,"Tulare County, California",180200,3248
0500000US06109,06109,"Tuolumne County, California",273500,8544
